filenameNumber,labile,moleculeID,smiles,containsAromaticSystem,labileProtonType,solvent,solventShift,machineFrequency
733,1,dcLL`AWPdDfYWyn`HFX@@,C1(=CC(=C(C=C1(C(O)=O))C=O)F),1,OH,DMSO,2.5,250.131544655141
735,1,dcnH`NtLSHhheEFp}LADLd@@,C1(=CC=C2(C(=C1Br)C(=CN2)C=O)),1,NH,DMSO,2.5,250.131544655141
739,1,fhipb@ARuxHLQIe]Y[zcMF`@jeib@@,C=2(Br)(C=CC(CN1(C(=C(N=N1)C(O)=O)C))=CC=2),1,OH,DMSO,2.5,250.131544655141
742,1,fhqa`@L@PGHhdiEXdlkNZjj@BP@@,C=1(C=CC(=CC=1)C=O)(CNC(=O)OC(C)(C)C),1,NH,CDCl3,7.26,250.131544655141
744,1,fhqa`@L@PGHhdiEXdh[NZjj@BP@@,C=1(C=CC(C=O)=CC=1CNC(OC(C)(C)C)=O),1,NH,CDCl3,7.26,250.131544655141
745,1,fhipb@DLEhpIAIe[]mjgAR`BJfja@@,C=1(C=C2(C(=NC=1F)NN=C2(C(OC(C)(C)C)=O))),1,NH,DMSO,2.5,250.131544655141
752,1,dg|DPClH`PcHhdieBiSCL@EMLP@@,S1(C=2(C=CC(=CC=2(C(=C1)CC(=O)O))Cl)),1,OH,DMSO,2.5,250.131544655141
757,1,dmM@@@yIYe^ne^dHB@@,N1(C=C(C=2(C=CC=CC1=2))C#N),1,NH,DMSO,2.5,250.131544655141
758,1,devD@HAdiYWpafdHB@@,O1(N=C(C2(=C1C=CC=C2))O),1,OH,CDCl3,7.26,250.131544655141
770,1,deVH@AAJYU^f```@@,NCCOC1(=CC=CC=C1),1,NH2,CDCl3,7.26,250.131544655141
771,1,dcNL`DY]BHRYVWjz@Hi`@@,N=1(C(=CC(=CC=1OC)C(O)=O)Cl),1,OH,DMSO,2.5,250.131544655141
772,1,dmvD`DePbLbbRbLih@JX@@,C=1(C(O)=O)(C=C(Cl)N=C(C=1)C),1,OH,DMSO,2.5,250.131544655141
775,1,dmu@pNTIAICICHiCEEiVjB@@@,C(C1(=C(N)C=NC=C1))(F)(F)F,1,NH2,CDCl3,7.26,250.131544655141
777,1,dknDpCWPdDdLdLbdLTRbdzhHF@@@,C1(=C(C(F)(F)F)C=CN=C1)(C(=O)O),1,OH,DMSO,2.5,250.131544655141
782,1,foAQ@@DN@drsJkjlYsT@@@@@@,C(NC=1(C=CN=CC=1))(=O)C2(=CC=CC=C2),1,NH,DMSO,2.5,250.131544655141
783,1,dg]LqNWSlIAICIAYolbdLRRR`sU@AS@@@,C=1([N+]([O-])=O)(C=C(C(F)(F)F)C=NC=1O),1,OH,DMSO,2.5,250.131544655141
784,1,daG@`B[`qDfYrZek`@,N1(C=C(C(C#N)=N1)Br),1,NH,DMSO,2.5,250.131544655141
785,1,die@PDhHchaIefXXBH@@,N1(=C(C(N)=CC=C1Cl)Cl),1,NH2,DMSO,2.5,250.131544655141
786,1,fdypb@NBt{pICHhdlheBieQbcP@ULsTP@@,N1(N=CC(=C1(N))C(OCC)=O)(C2(=CC=C(C=C2)F)),1,NH2,DMSO,2.5,250.131544655141
